,,,,,,,,,,,DESCRIPTION,,,,STAPLES ITEM ID,,QTY. ,STAPLES PRICE
LA,70106433,376238,MOUNTAIN VIEW HOSPITAL,GRAND TETON,GRAND TETON SURGICAL CENTER,2290 CORONADO ST,IDAHO FALLS,ID,83404,11/5/2020,CANON CRG-041 CYAN TONER,Ink and Toner,OEM Toner,EA,24341369,A9586-H080308, 1 ,$163.19 
LA,70106433,376238,MOUNTAIN VIEW HOSPITAL,GRAND TETON,GRAND TETON SURGICAL CENTER,2290 CORONADO ST,IDAHO FALLS,ID,83404,11/5/2020,CANON CRG-041 MAGENTA TONER,Ink and Toner,OEM Toner,EA,24341320,A9586-H080308, 2 ,$167.99 
LA,70106433,376238,MOUNTAIN VIEW HOSPITAL,GRAND TETON,GRAND TETON SURGICAL CENTER,2290 CORONADO ST,IDAHO FALLS,ID,83404,11/5/2020,CANON CRG-041H HY CYAN TONER,Ink and Toner,OEM Toner,EA,24341303,A9586-H080308, 1 ,$307.19 
LA,70106433,376238,MOUNTAIN VIEW HOSPITAL,GRAND TETON,GRAND TETON SURGICAL CENTER,2290 CORONADO ST,IDAHO FALLS,ID,83404,11/5/2020,CANON CRG-041H HY MAG TNR,Ink and Toner,OEM Toner,EA,24341323,A9586-H080308, 1 ,$307.19 
LA,70106433,376238,MOUNTAIN VIEW HOSPITAL,GRAND TETON,GRAND TETON SURGICAL CENTER,2290 CORONADO ST,IDAHO FALLS,ID,83404,11/5/2020,HP 206A CYAN,Ink and Toner,OEM Toner,EA,24422201,A9586-H080308, 12 ,$74.77 
LA,70106433,376238,MOUNTAIN VIEW HOSPITAL,GRAND TETON,GRAND TETON SURGICAL CENTER,2290 CORONADO ST,IDAHO FALLS,ID,83404,11/5/2020,HP 206A MAGENTA,Ink and Toner,OEM Toner,EA,24422211,A9586-H080308, 12 ,$74.77 
LA,70106433,376238,MOUNTAIN VIEW HOSPITAL,GRAND TETON,GRAND TETON SURGICAL CENTER,2290 CORONADO ST,IDAHO FALLS,ID,83404,11/5/2020,HP 206A YELLOW,Ink and Toner,OEM Toner,EA,24422206,A9586-H080308, 12 ,$74.77 
LA,70106433,376238,MOUNTAIN VIEW HOSPITAL,GRAND TETON,GRAND TETON SURGICAL CENTER,2290 CORONADO ST,IDAHO FALLS,ID,83404,11/5/2020,HP 30A BLACK,Ink and Toner,OEM Toner,EA,2465721,A9586-H080308, 46 ,$55.22 
LA,70106433,376238,MOUNTAIN VIEW HOSPITAL,IDAHO FALLS ID,IDAHO FALLS COMMUNITY HOSPITAL,2327 CORONADO ST,IDAHO FALLS,ID,83404,1/3/2020,HP 58A BLACK,Ink and Toner,OEM Toner,EA,24398981,N2193-H057352, 69 ,$99.63 
LA,70106433,376238,MOUNTAIN VIEW HOSPITAL,POCATELLO ENT,POCATELLO EAR NOSE & THROAT,333 N 18TH AVE,POCATELLO,ID,83201,10/12/2018,CANON 128 BLACK,Ink and Toner,OEM Toner,EA,887359,A9586-H013887, 2 ,$76.91 
LA,70106433,376238,MOUNTAIN VIEW HOSPITAL,POCATELLO ENT,POCATELLO EAR NOSE & THROAT,333 N 18TH AVE,POCATELLO,ID,83201,10/12/2018,HP CF230XC BLACK CONTRACT TNR,Ink and Toner,OEM Toner,EA,2447340,A9586-H013887, 1 ,$70.22 
LA,70106433,376238,MOUNTAIN VIEW HOSPITAL,POCATELLO ENT,POCATELLO EAR NOSE & THROAT,333 N 18TH AVE,POCATELLO,ID,83201,10/12/2018,HP CF230XC BLACK CONTRACT TNR,Ink and Toner,OEM Toner,EA,2465761,A9586-H013887, 11 ,$70.22 
LA,70106433,376238,MOUNTAIN VIEW HOSPITAL,POSTON CLIN,PAIN AND SPINE SPECIALISTS,3385 POTOMAC WAY,IDAHO FALLS,ID,83404,5/10/2016,HP CE285AC BLACK TONER CART,Ink and Toner,OEM Toner,EA,126090,A9586-H013887, 31 ,$25.46 
DET,70107014,1042339,OXFORD SURGERY CENTER,OXFORD,OXFORD SURGERY CENTER,499 AZALEA DR,OXFORD,MS,38655,3/18/2013,BROTHER TN431 CYAN,Ink and Toner,OEM Toner,EA,2698287,A8260-H012460, 14 ,$74.14 
DET,70107014,1042339,OXFORD SURGERY CENTER,OXFORD,OXFORD SURGERY CENTER,499 AZALEA DR,OXFORD,MS,38655,3/18/2013,BROTHER TN436BK HI-YIELD BLACK,Ink and Toner,OEM Toner,EA,2706120,A8260-H012460, 15 ,$81.57 
DET,70107014,1042339,OXFORD SURGERY CENTER,OXFORD,OXFORD SURGERY CENTER,499 AZALEA DR,OXFORD,MS,38655,3/18/2013,BROTHER TN850 HI-YIELD BLACK,Ink and Toner,OEM Toner,EA,1868096,A8260-H012460, 5 ,$84.66 
DET,70107014,1042339,OXFORD SURGERY CENTER,OXFORD,OXFORD SURGERY CENTER,499 AZALEA DR,OXFORD,MS,38655,3/18/2013,HP 81A BLACK,Ink and Toner,OEM Toner,EA,1279012,A8260-H012460, 19 ,$152.23 
DET,70107014,1042339,OXFORD SURGERY CENTER,OXFORD,OXFORD SURGERY CENTER,499 AZALEA DR,OXFORD,MS,38655,3/18/2013,HP 83A BLACK,Ink and Toner,OEM Toner,EA,308826,A8260-H012460, 5 ,$46.38 
DET,70107014,1052463,ST LOUIS SPINE & ORTHOPEDIC SURG,TOWN&COUNTRY,ST LOUIS SPINE & ORTHOPEDIC SURG,1130 TOWN & COUNTRY COMMONS DR,TOWN AND COUNTRY,MO,63017,11/19/2018,HP CE505AC BLACK TONER CART,Ink and Toner,OEM Toner,EA,126091,A8261-H012461, 1 ,$35.54 
DET,70107014,1054438,SPECIALTY SURGERY CTR WILSHIRE,SPECIALTYSURGER,SPECIALTY SURGERY CTR WILSHIRE,8670 WILSHIRE BLVD,BEVERLY HILLS,CA,90211,4/21/2015,HP 37X BLACK TONER HY,Ink and Toner,OEM Toner,EA,2707001,A8234-H012434, 66 ,$275.82 
DET,70107014,1054438,SPECIALTY SURGERY CTR WILSHIRE,SPECIALTYSURGER,SPECIALTY SURGERY CTR WILSHIRE,8670 WILSHIRE BLVD,BEVERLY HILLS,CA,90211,4/21/2015,HP 414A BLACK,Ink and Toner,OEM Toner,EA,24398984,A8234-H012434, 25 ,$79.89 
DET,70107014,1054438,SPECIALTY SURGERY CTR WILSHIRE,SPECIALTYSURGER,SPECIALTY SURGERY CTR WILSHIRE,8670 WILSHIRE BLVD,BEVERLY HILLS,CA,90211,4/21/2015,HP 414A CYAN,Ink and Toner,OEM Toner,EA,24398985,A8234-H012434, 15 ,$103.39 
DET,70107014,1054438,SPECIALTY SURGERY CTR WILSHIRE,SPECIALTYSURGER,SPECIALTY SURGERY CTR WILSHIRE,8670 WILSHIRE BLVD,BEVERLY HILLS,CA,90211,4/21/2015,HP 414A MAGENTA,Ink and Toner,OEM Toner,EA,24398991,A8234-H012434, 15 ,$103.39 
DET,70107014,1054438,SPECIALTY SURGERY CTR WILSHIRE,SPECIALTYSURGER,SPECIALTY SURGERY CTR WILSHIRE,8670 WILSHIRE BLVD,BEVERLY HILLS,CA,90211,4/21/2015,HP 414A YELLOW,Ink and Toner,OEM Toner,EA,24399007,A8234-H012434, 15 ,$103.39 
DET,70107014,1054438,SPECIALTY SURGERY CTR WILSHIRE,SPECIALTYSURGER,SPECIALTY SURGERY CTR WILSHIRE,8670 WILSHIRE BLVD,BEVERLY HILLS,CA,90211,4/21/2015,HP 508A CYAN,Ink and Toner,OEM Toner,EA,1585353,A8234-H012434, 15 ,$190.75 
DET,70107014,1054438,SPECIALTY SURGERY CTR WILSHIRE,SPECIALTYSURGER,SPECIALTY SURGERY CTR WILSHIRE,8670 WILSHIRE BLVD,BEVERLY HILLS,CA,90211,4/21/2015,HP 508A MAGENTA,Ink and Toner,OEM Toner,EA,1585351,A8234-H012434, 15 ,$190.75 
DET,70107014,1054438,SPECIALTY SURGERY CTR WILSHIRE,SPECIALTYSURGER,SPECIALTY SURGERY CTR WILSHIRE,8670 WILSHIRE BLVD,BEVERLY HILLS,CA,90211,4/21/2015,HP 508A YELLOW,Ink and Toner,OEM Toner,EA,1585350,A8234-H012434, 15 ,$190.75 
DET,70107014,1077656,NORTH DAKOTA SURGERY CENTER,ND SURGERY CTR,NORTH DAKOTA SURGERY CENTER,2600 47TH AVE S,GRAND FORKS,ND,58201,10/13/2017,HP 58A BLACK,Ink and Toner,OEM Toner,EA,24398981,K3489-H034193, 25 ,$99.63 
DET,70107014,1084527,SOUTH TEXAS SURGICAL HOSPITAL,STEXSURGHOSP,SOUTH TEXAS SURGICAL HOSPITAL,6130 PARKWAY DR,CORPUS CHRISTI,TX,78414,6/29/2018,BROTHER TN431 BLACK,Ink and Toner,OEM Toner,EA,2698286,M9000-H053433, 1 ,$74.14 
DET,70107014,1084527,SOUTH TEXAS SURGICAL HOSPITAL,STEXSURGHOSP,SOUTH TEXAS SURGICAL HOSPITAL,6130 PARKWAY DR,CORPUS CHRISTI,TX,78414,6/29/2018,BROTHER TN433C HI-YIELD CYAN,Ink and Toner,OEM Toner,EA,2697998,M9000-H053433, 1 ,$119.08 
DET,70107014,1084531,FAIRFIELD SURG CTR SURGERY PARTNER,FAIRFIELDSURGCT,FAIRFIELD SURG CENTER SURG PARTNERS,305 BLACK ROCK TPK,FAIRFIELD,CT,06825,6/29/2018,HP 26A BLACK,Ink and Toner,OEM Toner,EA,1847331,M8992-H053425, 2 ,$84.94 
DET,70107014,1084532,OAKLEAF SURGICAL HOSPITAL,OAKLEAFSURGHOSP,SURGERY PARTNERS,1000 OAK LEAF WAY,ALTOONA,WI,54720,6/29/2018,BROTHER TN420 BLACK,Ink and Toner,OEM Toner,EA,889139,M9002-H053435, 2 ,$32.78 
DET,70107014,1084532,OAKLEAF SURGICAL HOSPITAL,OAKLEAFSURGHOSP,SURGERY PARTNERS,1000 OAK LEAF WAY,ALTOONA,WI,54720,6/29/2018,HP 202A BLACK,Ink and Toner,OEM Toner,EA,2758187,M9002-H053435, 1 ,$61.18 
DET,70107014,1084532,OAKLEAF SURGICAL HOSPITAL,OAKLEAFSURGHOSP,SURGERY PARTNERS,1000 OAK LEAF WAY,ALTOONA,WI,54720,6/29/2018,HP 414A BLACK,Ink and Toner,OEM Toner,EA,24398984,M9002-H053435, 60 ,$79.89 
DET,70107014,1084532,OAKLEAF SURGICAL HOSPITAL,OAKLEAFSURGHOSP,SURGERY PARTNERS,1000 OAK LEAF WAY,ALTOONA,WI,54720,6/29/2018,HP 414A CYAN,Ink and Toner,OEM Toner,EA,24398985,M9002-H053435, 20 ,$103.39 
DET,70107014,1084532,OAKLEAF SURGICAL HOSPITAL,OAKLEAFSURGHOSP,SURGERY PARTNERS,1000 OAK LEAF WAY,ALTOONA,WI,54720,6/29/2018,HP 414A MAGENTA,Ink and Toner,OEM Toner,EA,24398991,M9002-H053435, 20 ,$103.39 
DET,70107014,1084532,OAKLEAF SURGICAL HOSPITAL,OAKLEAFSURGHOSP,SURGERY PARTNERS,1000 OAK LEAF WAY,ALTOONA,WI,54720,6/29/2018,HP 414A YELLOW,Ink and Toner,OEM Toner,EA,24399007,M9002-H053435, 20 ,$103.39 
DET,70107014,1084532,OAKLEAF SURGICAL HOSPITAL,OAKLEAFSURGHOSP,SURGERY PARTNERS,1000 OAK LEAF WAY,ALTOONA,WI,54720,6/29/2018,HP 58X CONTRACT ONLY HYBLK TNR,Ink and Toner,OEM Toner,EA,24398982,M9002-H053435, 29 ,$208.67 
DET,70107014,1084532,OAKLEAF SURGICAL HOSPITAL,OAKLEAFSURGHOSP,SURGERY PARTNERS,1000 OAK LEAF WAY,ALTOONA,WI,54720,6/29/2018,HP 58X CONTRACT ONLY HYBLK TNR,Ink and Toner,OEM Toner,EA,24398983,M9002-H053435, 29 ,$208.67 
DET,70107014,1084532,OAKLEAF SURGICAL HOSPITAL,OAKLEAFSURGHOSP,SURGERY PARTNERS,1000 OAK LEAF WAY,ALTOONA,WI,54720,6/29/2018,HP CF226XC BLK CONTRACT TONER,Ink and Toner,OEM Toner,EA,1938253,M9002-H053435, 19 ,$120.39 
DET,70107014,1084532,OAKLEAF SURGICAL HOSPITAL,OAKLEAFSURGHOSP,SURGERY PARTNERS,1000 OAK LEAF WAY,ALTOONA,WI,54720,6/29/2018,HP CF280XC TONER BLACK,Ink and Toner,OEM Toner,EA,985007,M9002-H053435, 13 ,$70.88 
DET,70107014,1084532,OAKLEAF SURGICAL HOSPITAL,OAKLEAFSURGHOSP,SURGERY PARTNERS,1000 OAK LEAF WAY,ALTOONA,WI,54720,6/29/2018,HP CF287XC CONTRACT BLK TONER,Ink and Toner,OEM Toner,EA,1847332,M9002-H053435, 10 ,$272.31 
DET,70107014,1084532,OAKLEAF SURGICAL HOSPITAL,OAKLEAFSURGHOSP,SURGERY PARTNERS,1000 OAK LEAF WAY,ALTOONA,WI,54720,6/29/2018,HP CF287XC CONTRACT BLK TONER,Ink and Toner,OEM Toner,EA,1938252,M9002-H053435, 12 ,$272.31 
DET,70107014,1084649,SPRING HILL SURGERY CENTER,SHSURGERY CTR,SPRING HILL SURGERY CENTER,1003 RESERVE BLVD,SPRING HILL,TN,37174,7/13/2018,HP 26A BLACK,Ink and Toner,OEM Toner,EA,1847331,N0081-H054633, 31 ,$84.94 
DET,70107014,1084649,SPRING HILL SURGERY CENTER,SHSURGERY CTR,SPRING HILL SURGERY CENTER,1003 RESERVE BLVD,SPRING HILL,TN,37174,7/13/2018,HP 410A BLACK,Ink and Toner,OEM Toner,EA,1878689,N0081-H054633, 20 ,$86.47 
DET,70107014,1084649,SPRING HILL SURGERY CENTER,SHSURGERY CTR,SPRING HILL SURGERY CENTER,1003 RESERVE BLVD,SPRING HILL,TN,37174,7/13/2018,HP 410A BLK/CMY TONER CART 4PK,Ink and Toner,OEM Toner,PK,24396755,N0081-H054633, 2 ,$384.45 
DET,70107014,1085754,NOVAMED SURGERY CTR OF ST PETERS,5200 EXECUTIVE,SURGERY PARTNERS,5200 EXECUTIVE CENTRE PKWY,SAINT PETERS,MO,63376,4/29/2022,HP 30A BLACK,Ink and Toner,OEM Toner,EA,2465721,A8201-H012401, 18 ,$55.22 
DET,70107014,1085754,NOVAMED SURGERY CTR OF ST PETERS,5200 EXECUTIVE,SURGERY PARTNERS,5200 EXECUTIVE CENTRE PKWY,SAINT PETERS,MO,63376,4/29/2022,HP 58A BLACK,Ink and Toner,OEM Toner,EA,24398981,A8201-H012401, 11 ,$99.63 
DET,70107014,1085779,SURGERY PARTNERS,WEST CHASE SURG,WEST CHASE SURGERY CENTER,10901 SHELDON RD,TAMPA,FL,33626,10/9/2018,HP 80A BLACK,Ink and Toner,OEM Toner,EA,665699,K0726-H029985, 25 ,$36.34 
DET,70107014,1085784,WEST KENDALL SURGERY CENTER,MIAMI SURGICAL,MIAMI SURGICAL CENTER,7600 SW 87TH AVE,MIAMI,FL,33173,10/9/2018,HP CF226XC BLK CONTRACT TONER,Ink and Toner,OEM Toner,EA,1938253,K0727-H029986, 25 ,$120.39 
DET,70107014,1085788,NASHUA SURGERY CENTER,PAM GUY,NASHUA SURGERY CENTER,5 COLISEUM AVE,NASHUA,NH,03063,10/9/2018,BROTHER TN760 HI-YIELD BLACK,Ink and Toner,OEM Toner,EA,2735027,K0744-H030003, 10 ,$69.20 
DET,70107014,1085896,RIVERSIDE SURGICAL CENTER,JACKSONVILLE,RIVERSIDE SURGICAL CENTER,7207 GOLDEN WINGS RD,JACKSONVILLE,FL,32244,10/15/2018,HP 131A CYAN,Ink and Toner,OEM Toner,EA,954076,M1137-H043413, 10 ,$69.11 
DET,70107014,1085896,RIVERSIDE SURGICAL CENTER,JACKSONVILLE,RIVERSIDE SURGICAL CENTER,7207 GOLDEN WINGS RD,JACKSONVILLE,FL,32244,10/15/2018,HP 131A MAGENTA,Ink and Toner,OEM Toner,EA,954084,M1137-H043413, 10 ,$71.74 
DET,70107014,1085896,RIVERSIDE SURGICAL CENTER,JACKSONVILLE,RIVERSIDE SURGICAL CENTER,7207 GOLDEN WINGS RD,JACKSONVILLE,FL,32244,10/15/2018,HP 131A YELLOW,Ink and Toner,OEM Toner,EA,954075,M1137-H043413, 10 ,$71.01 
DET,70107014,1086778,SPECIALTY SURGICAL CENTER OF ENCINO,SC-ENCINO,SPECIALTY SURGICAL CENTER OF ENCINO,16501 VENTURA BLVD,ENCINO,CA,91436,11/8/2018,HP 508A BLACK,Ink and Toner,OEM Toner,EA,HEWCF360A,A8236-H012436, 10 ,$133.24 
DET,70107014,1086778,SPECIALTY SURGICAL CENTER OF ENCINO,SC-ENCINO,SPECIALTY SURGICAL CENTER OF ENCINO,16501 VENTURA BLVD,ENCINO,CA,91436,11/8/2018,HP CE410XC TONER BLACK,Ink and Toner,OEM Toner,EA,1020794,A8236-H012436, 10 ,$69.58 
DET,70107014,1086778,SPECIALTY SURGICAL CENTER OF ENCINO,SC-ENCINO,SPECIALTY SURGICAL CENTER OF ENCINO,16501 VENTURA BLVD,ENCINO,CA,91436,11/8/2018,HP CE411AC TONER CYAN,Ink and Toner,OEM Toner,EA,1009702,A8236-H012436, 10 ,$63.50 
DET,70107014,1086778,SPECIALTY SURGICAL CENTER OF ENCINO,SC-ENCINO,SPECIALTY SURGICAL CENTER OF ENCINO,16501 VENTURA BLVD,ENCINO,CA,91436,11/8/2018,HP CE413AC TONER MAGENTA,Ink and Toner,OEM Toner,EA,1009722,A8236-H012436, 10 ,$63.50 
DET,70107014,1086946,DELAWARE OUTPATIENT CTR FOR SURGERY,DELAWARE,DELAWARE OUTPATIENT CTR FOR SURGERY,774 CHRISTIANA RD,NEWARK,DE,19713,11/28/2018,HP 26A BLACK,Ink and Toner,OEM Toner,EA,1847331,K0636-H029860, 22 ,$84.94 
DET,70107014,1086946,DELAWARE OUTPATIENT CTR FOR SURGERY,DELAWARE,DELAWARE OUTPATIENT CTR FOR SURGERY,774 CHRISTIANA RD,NEWARK,DE,19713,11/28/2018,HP 410A BLACK,Ink and Toner,OEM Toner,EA,1878689,K0636-H029860, 22 ,$86.47 
DET,70107014,1086946,DELAWARE OUTPATIENT CTR FOR SURGERY,DELAWARE,DELAWARE OUTPATIENT CTR FOR SURGERY,774 CHRISTIANA RD,NEWARK,DE,19713,11/28/2018,HP 410A CYAN,Ink and Toner,OEM Toner,EA,1878687,K0636-H029860, 10 ,$113.73 
DET,70107014,1086946,DELAWARE OUTPATIENT CTR FOR SURGERY,DELAWARE,DELAWARE OUTPATIENT CTR FOR SURGERY,774 CHRISTIANA RD,NEWARK,DE,19713,11/28/2018,HP 410A MAGENTA,Ink and Toner,OEM Toner,EA,1878565,K0636-H029860, 10 ,$113.73 
DET,70107014,1086946,DELAWARE OUTPATIENT CTR FOR SURGERY,DELAWARE,DELAWARE OUTPATIENT CTR FOR SURGERY,774 CHRISTIANA RD,NEWARK,DE,19713,11/28/2018,HP 58A BLACK,Ink and Toner,OEM Toner,EA,24398981,K0636-H029860, 41 ,$99.63 
DET,70107014,1086946,DELAWARE OUTPATIENT CTR FOR SURGERY,DELAWARE,DELAWARE OUTPATIENT CTR FOR SURGERY,774 CHRISTIANA RD,NEWARK,DE,19713,11/28/2018,HP CE505AC BLACK TONER CART,Ink and Toner,OEM Toner,EA,126091,K0636-H029860, 10 ,$35.54 
DET,70107014,1086946,DELAWARE OUTPATIENT CTR FOR SURGERY,DELAWARE,DELAWARE OUTPATIENT CTR FOR SURGERY,774 CHRISTIANA RD,NEWARK,DE,19713,11/28/2018,LEXMARK X264/X364 BLACK TONER,Ink and Toner,OEM Toner,EA,796665,K0636-H029860, 13 ,$99.00 
DET,70107014,1086946,DELAWARE OUTPATIENT CTR FOR SURGERY,DELAWARE,DELAWARE OUTPATIENT CTR FOR SURGERY,774 CHRISTIANA RD,NEWARK,DE,19713,11/28/2018,LEXMARK X264/X364 BLACK TONER,Ink and Toner,OEM Toner,EA,LEXX264A11G,K0636-H029860, 23 ,$99.00 
DET,70107014,1087052,CLEVELAND ASC PAYABLES,CLEVELANDTN,THE SURGERY CENTER OF CLEVELAND,137 25TH ST NE,CLEVELAND,TN,37311,12/6/2018,HP 26A BLACK,Ink and Toner,OEM Toner,EA,1847331,K0749-H030008, 23 ,$84.94 
DET,70107014,1087485,SP CTR OF RECONSTRUCTIVE SURGERY,CTR RECONS SURG,CTR OF RECONSTRUCTIVE SURGERY,6311 W 95TH,OAK LAWN,IL,60453,1/22/2019,BROTHER TN820 BLACK,Ink and Toner,OEM Toner,EA,1868097,K0729-H029988, 14 ,$61.65 
DET,70107014,1087485,SP CTR OF RECONSTRUCTIVE SURGERY,CTR RECONS SURG,CTR OF RECONSTRUCTIVE SURGERY,6311 W 95TH,OAK LAWN,IL,60453,1/22/2019,HP 26A BLACK,Ink and Toner,OEM Toner,EA,1847331,K0729-H029988, 14 ,$84.94 
DET,70107014,1087485,SP CTR OF RECONSTRUCTIVE SURGERY,CTR RECONS SURG,CTR OF RECONSTRUCTIVE SURGERY,6311 W 95TH,OAK LAWN,IL,60453,1/22/2019,HP 80A BLACK,Ink and Toner,OEM Toner,EA,665699,K0729-H029988, 4 ,$36.34 
DET,70107014,1087485,SP CTR OF RECONSTRUCTIVE SURGERY,CTR RECONS SURG,CTR OF RECONSTRUCTIVE SURGERY,6311 W 95TH,OAK LAWN,IL,60453,1/22/2019,HP CE505AC BLACK TONER CART,Ink and Toner,OEM Toner,EA,126091,K0729-H029988, 1 ,$35.54 
DET,70107014,1089022,GOLD COAST SURGERY CENTER,GOLD COAST,GOLD COAST SURGERY CENTER,2927 DE LA VINA ST,SANTA BARBARA,CA,93105,6/5/2019,CANON 128 BLACK,Ink and Toner,OEM Toner,EA,887359,N2570-H057860, 4 ,$76.91 
DET,70107014,1089022,GOLD COAST SURGERY CENTER,GOLD COAST,GOLD COAST SURGERY CENTER,2927 DE LA VINA ST,SANTA BARBARA,CA,93105,6/5/2019,HP 26A BLACK,Ink and Toner,OEM Toner,EA,1847331,N2570-H057860, 4 ,$84.94 
DET,70107014,1089533,CENTER FOR ORTHOPEDIC SURGERY,VAN NUYS,CENTER FOR ORTHOPEDIC SURGERY,6815 NOBLE AVE,VAN NUYS,CA,91405,7/9/2019,HP 90A BLACK,Ink and Toner,OEM Toner,EA,927589,N1709-H056753, 3 ,$63.27 
DET,70107014,1089940,PAIN SPECIALISTS OF ORANGE COUNTY,LAGUNA HILLS,PAIN SPECIALISTS OF ORANGE COUNTY,24953 PASEO DE VALENCIA,LAGUNA HILLS,CA,92653,9/23/2020,BROTHER TN820 BLACK,Ink and Toner,OEM Toner,EA,1868097,M1161-H038879, 3 ,$61.65 
DET,70107014,1089940,PAIN SPECIALISTS OF ORANGE COUNTY,MISSION VIEJO,SURGERY PARTNERS,25982 PALA,MISSION VIEJO,CA,92691,8/29/2019,BROTHER TN820 BLACK,Ink and Toner,OEM Toner,EA,1868097,M1161-H038879, 8 ,$61.65 
DET,70107014,1089940,PAIN SPECIALISTS OF ORANGE COUNTY,MISSION VIEJO,SURGERY PARTNERS,25982 PALA,MISSION VIEJO,CA,92691,8/29/2019,SAMSUNG MLT-D111S BLK TNR CART,Ink and Toner,OEM Toner,EA,1037576,M1161-H038879, 7 ,$54.08 
DET,70107014,1089940,PAIN SPECIALISTS OF ORANGE COUNTY,PS OF OC,PAIN SPECIALISTS OF ORANGE COUNTY,35 CREEK RD,IRVINE,CA,92604,8/6/2019,BROTHER TN450 HI-YIELD BLACK,Ink and Toner,OEM Toner,EA,889863,M0688-H043053, 2 ,$45.64 
DET,70107014,1089940,PAIN SPECIALISTS OF ORANGE COUNTY,PS OF OC,PAIN SPECIALISTS OF ORANGE COUNTY,35 CREEK RD,IRVINE,CA,92604,8/6/2019,BROTHER TN660 HI-YIELD BLACK,Ink and Toner,OEM Toner,EA,1005409,M0688-H043053, 1 ,$48.31 
DET,70107014,1089940,PAIN SPECIALISTS OF ORANGE COUNTY,PS OF OC,PAIN SPECIALISTS OF ORANGE COUNTY,35 CREEK RD,IRVINE,CA,92604,8/6/2019,BROTHER TN760 HI-YIELD BLACK,Ink and Toner,OEM Toner,EA,2735027,M0688-H043053, 1 ,$69.20 
DET,70107014,1089940,PAIN SPECIALISTS OF ORANGE COUNTY,PS OF OC,PAIN SPECIALISTS OF ORANGE COUNTY,35 CREEK RD,IRVINE,CA,92604,8/6/2019,HP 26A BLACK,Ink and Toner,OEM Toner,EA,1847331,M0688-H043053, 4 ,$84.94 
DET,70107014,1089940,PAIN SPECIALISTS OF ORANGE COUNTY,PS OF OC,PAIN SPECIALISTS OF ORANGE COUNTY,35 CREEK RD,IRVINE,CA,92604,8/6/2019,SAMSUNG MLT-D116S BLK TNR 2 PK,Ink and Toner,OEM Toner,PK,24384030,M0688-H043053, 1 ,$74.77 
DET,70107014,1089944,BAHAMAS SURGERY CENTER,BAHAMAS SURGERY,BAHAMAS SURGERY CENTER,2400 BAHAMAS DR,BAKERSFIELD,CA,93309,8/6/2019,HP 202A BLACK,Ink and Toner,OEM Toner,EA,2758187,N1711-H056755, 5 ,$61.18 
DET,70107014,1089944,BAHAMAS SURGERY CENTER,BAHAMAS SURGERY,BAHAMAS SURGERY CENTER,2400 BAHAMAS DR,BAKERSFIELD,CA,93309,8/6/2019,HP 58A BLACK,Ink and Toner,OEM Toner,EA,24398981,N1711-H056755, 14 ,$99.63 
DET,70107014,1089946,CRESCENT VIEW SURGERY CENTER,CRESCENT VIEW,CRESCENT VIEW SURGERY CENTER,3434 HOUMA BLVD,METAIRIE,LA,70006,8/6/2019,HP 58A BLACK,Ink and Toner,OEM Toner,EA,24398981,N2194-H057353, 14 ,$99.63 
DET,70107014,1089946,CRESCENT VIEW SURGERY CENTER,CRESCENT VIEW,CRESCENT VIEW SURGERY CENTER,3434 HOUMA BLVD,METAIRIE,LA,70006,8/6/2019,HP 89A BLACK TONER CARTRIDGE,Ink and Toner,OEM Toner,EA,24394160,N2194-H057353, 14 ,$140.99 
DET,70107014,1089998,BLUE RIDGE SURGICAL,BLUE RIDGE,BLUE RIDGE SURGICAL,4240 BLUE RIDGE BLVD,KANSAS CITY,MO,64133,8/8/2019,HP CF226XC BLK CONTRACT TONER,Ink and Toner,OEM Toner,EA,1938253,K0741-H030000, 12 ,$120.39 
DET,70107014,1090027,"THE SURGERY CENTER, LLC",TSC-COLUMBUS,"THE SURGERY CENTER, LLC",2548 WEEMS RD,COLUMBUS,GA,31909,8/12/2019,HP 58A BLACK,Ink and Toner,OEM Toner,EA,24398981,A8254-H012454, 18 ,$99.63 
DET,70107014,1090027,"THE SURGERY CENTER, LLC",TSC-COLUMBUS,"THE SURGERY CENTER, LLC",2548 WEEMS RD,COLUMBUS,GA,31909,8/12/2019,HP CE505AC BLACK TONER CART,Ink and Toner,OEM Toner,EA,760476,A8254-H012454, 19 ,$35.54 
DET,70107014,1090646,SURGERY PARTNERS,ORANGE CITY,ORANGE CITY SURGERY CENTER,975 TOWN CTR DR,ORANGE CITY,FL,32763,9/12/2019,HP 134A BLACK,Ink and Toner,OEM Toner,EA,24459954,K0721-H029980, 28 ,$46.93 
DET,70107014,1090646,SURGERY PARTNERS,ORANGE CITY,ORANGE CITY SURGERY CENTER,975 TOWN CTR DR,ORANGE CITY,FL,32763,9/12/2019,HP 26A BLACK,Ink and Toner,OEM Toner,EA,1847331,K0721-H029980, 41 ,$84.94 
DET,70107014,1090646,SURGERY PARTNERS,ORANGE CITY,ORANGE CITY SURGERY CENTER,975 TOWN CTR DR,ORANGE CITY,FL,32763,9/12/2019,HP 414A BLACK,Ink and Toner,OEM Toner,EA,24398984,K0721-H029980, 75 ,$79.89 
